standardLat,scope,score,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,screenNorthErrorDeg.p95,geoAxisHorizontalShare.p95,widthTiles,heightTiles
45,emea,20.3422468,18.46745635,54.24599148,66.72164667,20.16277548,54.24599148,66.72164667,0,0,1066,1137
45,iberia,5.35569469,8.36129429,12.9891544,13.45094415,9.12419509,14.92820155,15.54141061,0,0,,
45,british-isles,15.76319474,23.28030518,42.03518598,44.55383758,23.28030518,42.03518598,44.55383758,0,0,,
45,scandinavia,25.580881,41.42135624,68.21568265,71.92534748,41.42135624,68.21568265,71.92534748,0,0,,
45,central-europe,7.76806179,7.78096939,20.71483144,22.41006528,7.78096939,20.71483144,22.41006528,0,0,,
45,mediterranean,7.43276103,10.26686147,17.38253197,18.03388679,11.4415495,21.03977813,22.00163712,0,0,,
45,middle-east,10.87451624,17.50656137,23.9637376,24.49688052,21.22176219,31.51619614,32.44485883,0,0,,
45,western-russia,24.90988574,33.43670044,66.42636196,71.29456022,33.43670044,66.42636196,71.29456022,0,0,,
45.25,emea,20.08931257,18.82398419,53.5715002,65.99260149,20.39625779,53.5715002,65.99260149,0,0,1062,1137
45.25,iberia,5.52944727,8.76201464,13.36963791,13.82940833,9.60347228,15.43297014,16.04887243,0,0,,
45.25,british-isles,15.53028392,22.74122154,41.41409046,43.92172843,22.74122154,41.41409046,43.92172843,0,0,,
45.25,scandinavia,25.30503912,40.80294489,67.48010431,71.17354741,40.80294489,67.48010431,71.17354741,0,0,,
45.25,central-europe,7.57011232,7.30966168,20.18696618,21.87478705,7.30966168,20.18696618,21.87478705,0,0,,
45.25,mediterranean,7.61082274,10.6592491,17.74380399,18.39231055,11.9310046,21.57138897,22.53747248,0,0,,
45.25,middle-east,11.06048384,17.86729103,24.29623114,24.82704272,21.75417231,32.09381977,33.02656117,0,0,,
45.25,western-russia,24.636978,32.85320462,65.69860801,70.54551847,32.85320462,65.69860801,70.54551847,0,0,,
45.5,emea,19.83528193,19.10959532,52.89408514,65.26039605,20.92968744,52.89408514,65.26039605,0,0,1057,1137
45.5,iberia,5.70507368,9.16447203,13.75177074,14.20951308,10.08908324,15.94440936,16.56304048,0,0,,
45.5,british-isles,15.29636348,22.19980109,40.79030262,43.28687921,22.19980109,40.79030262,43.28687921,0,0,,
45.5,scandinavia,25.02800152,40.18185286,66.74133739,70.41848844,40.18185286,66.74133739,70.41848844,0,0,,
45.5,central-europe,7.37130477,6.83631096,19.65681273,21.33718849,6.83631096,19.65681273,21.33718849,0,0,,
45.5,mediterranean,7.79083655,11.05333765,18.10664206,18.75228801,12.42692796,22.11002517,23.08038903,0,0,,
45.5,middle-east,11.24853995,18.22958439,24.63016597,25.1586361,22.29361836,32.67907683,33.61595085,0,0,,
