region,fixture,projection,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,northScaleErrorPct.p50,northScaleErrorPct.p95,northScaleErrorPct.max,northDeviationDeg.p50,northDeviationDeg.p95,northDeviationDeg.max,shearDeg.p50,shearDeg.p95,shearDeg.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,areaErrorPct.p50,areaErrorPct.p95,areaErrorPct.max,screenNorthErrorDeg.p50,screenNorthErrorDeg.p95,screenNorthErrorDeg.max,geoAxisHorizontalShare.p50,geoAxisHorizontalShare.p95,geoAxisHorizontalShare.max,roundTripTile.p50,roundTripTile.p95,roundTripTile.max,curvature.totalDeg,curvature.maxStepDeg,inverseCostUnits
apac,apac,equirectangular,10.33042822,48.37298169,69.41877644,0,0,0,0,0,0,0,0,0,11.52055042,48.37298169,69.41877644,10.33042822,48.37298169,69.41877644,0,0,0,0,0,0,0,1e-12,1e-12,,,1
apac,japan,equirectangular,12.56329044,26.07252007,27.91057077,0,0,0,0,0,0,0,0,0,12.56329044,26.07252007,27.91057076,12.56329044,26.07252008,27.91057077,0,0,0,0,0,0,0,0,0,,,1
apac,korea,equirectangular,12.56329043,20.72355006,21.75629591,0,0,0,0,0,0,0,0,0,12.56329043,20.72355006,21.75629591,12.56329043,20.72355006,21.75629591,0,0,0,0,0,0,0,0,1e-12,,,1
apac,indonesia,equirectangular,10.97923503,11.28899009,11.29879415,0,0,0,0,0,0,0,0,0,12.33334159,12.72557949,12.73803896,10.97923503,11.28899009,11.29879415,0,0,0,0,0,0,0,0,0,,,1
apac,new-zealand,equirectangular,16.64964154,29.88700944,31.65284595,0,0,0,0,0,0,0,0,0,16.64964154,29.88700944,31.65284595,16.64964155,29.88700945,31.65284595,0,0,0,0,0,0,0,1e-12,1e-12,,,1
apac,transsib,equirectangular,51.95010792,62.24094906,62.77505978,0,0,0,0,0,0,0,0,0,51.95010791,62.24094906,62.77505977,51.95010792,62.24094907,62.77505979,0,0,0,0,0,0,0,0,0,75.58381076,11.65675923,1
apac,australia-east,equirectangular,7.04897276,19.42613205,22.6465123,0,0,0,0,0,0,0,0,0,7.58353401,19.42613204,22.6465123,7.04897277,19.42613205,22.64651231,0,0,0,0,0,0,0,0,1e-12,,,1
apac,apac,sinusoidal,0,2e-8,2e-8,1.58725655,18.16899803,36.15779687,10.14165138,32.1943569,42.73991604,10.14165138,32.1943569,42.73991604,19.55897999,85.82506839,144.48758392,0,2e-8,2e-8,10.14165138,32.1943569,42.73991604,0.15173526,0.386351,0.48026681,0,0,1e-12,,,2
apac,japan,sinusoidal,1e-8,2e-8,2e-8,0.86596899,2.60629015,3.45098452,7.5132471,12.94152986,14.84077439,7.5132471,12.94152986,14.84077439,14.08713545,25.7707904,30.23935483,1e-8,2e-8,2e-8,7.5132471,12.94152986,14.84077439,0.11652014,0.18685539,0.20946921,0,0,1e-12,,,2
apac,korea,sinusoidal,0,1e-8,2e-8,0.05194436,0.28921756,0.37867685,1.84634506,4.3523846,4.97837839,1.84634506,4.3523846,4.97837839,3.2759725,7.90613424,9.09849394,0,1e-8,2e-8,1.84634506,4.3523846,4.97837839,0.03122925,0.07072688,0.08012855,0,1e-12,1e-12,,,2
apac,indonesia,sinusoidal,1e-8,2e-8,2e-8,0.0098129,0.18805663,0.54042091,0.80263592,3.51108981,5.94330584,0.80263592,3.51108981,5.94330584,1.41080334,6.32681016,10.96636547,1e-8,2e-8,2e-8,0.80263592,3.51108981,5.94330584,0.013816,0.05780987,0.09428814,0,0,0,,,2
apac,new-zealand,sinusoidal,0,2e-8,2e-8,13.17398321,19.20905903,21.9766748,27.92084856,32.97981155,34.93233291,27.92084856,32.97981155,34.93233291,68.86438717,89.27474795,98.37300792,0,2e-8,2e-8,27.92084856,32.97981155,34.93233291,0.34637905,0.39353757,0.41122752,0,1e-12,1e-12,,,2
apac,transsib,sinusoidal,0,1e-8,2e-8,6.65402133,50.70024694,60.91975504,20.34582543,48.42687718,51.57952913,20.34582543,48.42687718,51.57952913,44.58947572,192.97375113,228.51132473,0,1e-8,2e-8,20.34582543,48.42687718,51.57952913,0.27051002,0.52994102,0.55767095,0,0,0,40.8218329,6.0429796,2
apac,australia-east,sinusoidal,1e-8,2e-8,2e-8,1.83115425,4.77342888,6.2301302,10.88210014,17.36161344,19.72005199,10.88210014,17.36161344,19.72005199,21.16109633,36.53159277,42.84000905,1e-8,2e-8,3e-8,10.88210014,17.36161343,19.72005199,0.16124669,0.23817963,0.26386513,0,1e-12,1e-12,,,2
apac,apac,laea,3.62272793,16.47413712,23.54841803,3.64907904,13.53264338,20.51671599,8.66820027,31.58710916,47.71657916,4.86954606,25.87137583,37.3658276,16.13684554,65.88153627,105.6023633,1e-8,2e-8,3e-8,8.32721905,34.90819907,51.80879309,0.13228607,0.38076431,0.52372441,0,1e-12,1e-12,,,8
apac,japan,laea,0.39928639,1.1073559,1.31199939,0.40733556,1.11615426,1.32965574,7.22689242,12.3465428,14.23115006,0.77841183,2.11768934,2.70914504,1.99243662,3.86293977,4.89522702,1e-8,2e-8,3e-8,7.18437737,12.42049704,14.17686882,0.11253599,0.17957897,0.2023085,0,0,1e-12,,,8
apac,korea,laea,0.37466295,0.87160971,0.9505943,0.36875166,0.86309081,0.94164309,1.75280108,4.1193063,4.70772339,0.21983088,0.6731209,0.88650039,0.93515639,1.91867385,2.18187618,1e-8,2e-8,3e-8,1.73898156,4.08579663,4.63239625,0.02969304,0.06718123,0.07608502,0,1e-12,1e-12,,,8
apac,indonesia,laea,2.76507085,5.48589885,6.0926211,2.46261519,5.12379922,5.74270514,0.89284139,4.42832148,6.74844494,2.83067444,7.58238508,10.06514692,8.9089949,15.54844025,20.3714055,1e-8,2e-8,2e-8,0.85004705,4.4174733,6.98107724,0.01534514,0.0718767,0.10580978,0,0,1e-12,,,8
apac,new-zealand,laea,10.53185498,15.48377321,17.53035586,3.90809214,10.21255399,12.63520324,22.06655288,28.65497294,30.90693111,29.59832143,34.59949728,36.45349903,73.22480857,90.56593251,98.26449901,1e-8,2e-8,4e-8,19.40329106,25.34155648,27.77172689,0.28844768,0.35336313,0.37447298,1e-12,1e-12,1e-12,,,8
apac,transsib,laea,1.80489348,13.21908437,13.70872142,1.85292578,15.44215836,17.46486913,20.16428729,56.47205836,62.2437708,3.478029,5.8840946,9.82236291,8.71739456,33.8894935,42.40379756,0,1e-8,2e-8,19.7297975,65.67645579,75.64441957,0.26858926,0.60147398,0.65519453,0,1e-12,1e-12,78.49648975,4.4205752,8
apac,australia-east,laea,10.53743704,19.45624867,21.21738982,7.22624562,12.63865718,14.65702206,6.61503636,14.84946856,17.70374624,12.42254575,19.09711279,21.91792626,32.87137179,56.42520439,61.53337529,1e-8,2e-8,3e-8,5.52216551,11.03029966,13.11373904,0.10391849,0.20957069,0.24197216,0,1e-12,1e-12,,,8
emea,emea,equirectangular,18.46745635,54.24599148,66.72164667,0,0,0,0,0,0,0,0,0,20.16277548,54.24599147,66.72164667,18.46745635,54.24599149,66.72164667,0,0,0,0,0,0,0,0,0,,,1
emea,emea,sinusoidal,0,0,1e-8,1.33453622,8.32777144,13.93737635,9.3089747,22.61280371,28.63682673,9.3089747,22.61280371,28.63682673,17.79011454,51.22042955,71.51245305,0,1e-8,1e-8,9.3089747,22.61280371,28.63682673,0.1408323,0.29404557,0.35319114,0,0,0,,,2
